estimate.shattering(num.hyperplanes = 1, num.classes = 2, R = 3, n.end = 15, n.start = 1, k = 4)
     [,1] [,2]
 [1,]    1    2
 [2,]    2    4
 [3,]    3    8
 [4,]    4   16
 [5,]    5   28
 [6,]    6   50
 [7,]    7   84
 [8,]    8  112
 [9,]    9  178
[10,]   10  236
[11,]   11  332
[12,]   12  438
[13,]   13  534
[14,]   14  684
[15,]   15  812
